"","instant_book","rating_checkin","person_capacity","rating_cleanliness","tax","lon","cancel_policy","price","lat","host_id","review_score_a","rev_count","bed_type","accuracy_rating","rating_communication","satisfaction_guest","hosting_id","url","cleaning_fee","nightly_price","room_type","TV","Cable.TV","Internet","Wireless.Internet","Air.conditioning","Wheelchair accessible","Pool","Kitchen","Free.parking.on.premises","Smoking.allowed","Pets.allowed","Doorman","Gym","Breakfast","Elevator.in.building","Hot.tub","Indoor.fireplace","Buzzer/wireless.intercom","Heating","Family/kid.friendly","Suitable.for.events","Washer","Dryer","Essentials","Shampoo","Hangers","Hair.dryer","Iron","Laptop.friendly.workspace","Self.Check-In"
"72","False",10,1,10,5,-81.5549439129882,3,40,28.445999357161,91191134,5,12,"Real Bed",10,10,100,14672216,"https://www.airbnb.com/rooms/14672216",0,"$40","Private room",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"73","True",10,3,9,4,-81.4345139379509,5,29,28.5164163807183,22068201,4.5,79,"Real Bed",9,10,91,8845501,"https://www.airbnb.com/rooms/8845501",10,"$29","Private room",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"74","True",10,2,10,13,-81.3317504926504,4,50,28.4577179044394,34824002,5,7,"Real Bed",10,9,100,14934137,"https://www.airbnb.com/rooms/14934137",60,"$50","Entire home/apt",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"75","True",9,4,9,11,-81.3091665291308,3,94,28.46247412007,6507148,4.5,131,"Real Bed",10,9,92,1190405,"https://www.airbnb.com/rooms/1190405",0,"$94","Private room",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"76","False",10,2,9,8,-81.4682269121228,5,45,28.4565720054987,54070622,4.5,6,"Real Bed",9,10,93,14695760,"https://www.airbnb.com/rooms/14695760",20,"$45","Private room",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"77","True",10,4,9,10,-81.4320416932825,5,59,28.3715204431972,33245081,4.5,100,"Real Bed",9,10,94,6773282,"https://www.airbnb.com/rooms/6773282",25,"$59","Private room",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"78","False",10,4,9,11,-81.3530338538089,4,55,28.5152325322803,78914094,4.5,13,"Real Bed",10,10,94,15165016,"https://www.airbnb.com/rooms/15165016",40,"$55","Entire home/apt",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"79","False",10,2,10,6,-81.4054449554683,5,45,28.3600906499103,47732547,5,66,"Real Bed",10,10,97,9172155,"https://www.airbnb.com/rooms/9172155",7,"$45","Private room",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"80","True",10,2,10,11,-81.3891116197326,5,65,28.5684633918299,1351362,5,204,"Real Bed",10,10,99,718351,"https://www.airbnb.com/rooms/718351",25,"$65","Private room",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"81","True",10,2,10,5,-81.4407172152021,5,41,28.4887289832785,19811395,5,28,"Real Bed",10,10,99,14253543,"https://www.airbnb.com/rooms/14253543",0,"$41","Private room",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
